name,phone,email,address
Edmund Fedorczuk,604796994,fedorczuk@weterynarz.wroc.pl,"Sosnowiecka 140, 76-385 Olszanka"
Stanisław Piotrowicz,503690907,piotrowicz@krewetka.com,"Brzozowa 7, 32-345 Igołomia"
Marcin Glegoła,603209286,glegola@ostryga.gov.pl,"Ortopedyczna 36, 62-128 Górzno"
Agata Wróblewska,504505609,wroblewska@weterynarz.eu,"11 Listopada 291, 59-498 Sieniawa"
Dominik Zieliński,502036635,dominik.zielinski@rybitwa.com,"Krótka 359, 20-759 Kaliska"
Aleksa Michalak,604543964,aleksa.michalak@piosenkarz.waw.pl,"Kwiatowa 79, 69-279 Szulborze Wielkie"
Aleksa Michalak,506489723,aleksa.michalak@piosenkarz.waw.pl,"Leśna 248, 71-965 Wołomin"
Adriana Szewczyk,505813691,szewczyk@kon.com.pl,"Radomska 13, 97-574 Nowa Wieś Lęborska"
Augustyna Zielińska,506039787,augustyna.zielinska@manager.com,"Polna 131, 12-246 Łoniów"
Iwo Kozłowski,600378825,iwo.kozlowski@kryl.gov.pl,"Krótka 292, 02-880 Osielsko"
Adriana Wyrozębska,605430499,wyrozebska@szafa.eu,"Sosnowiecka 317, 56-752 Lipno"
Aida Lewandowska,604052714,lewandowska@kredens.wroc.pl,"Bukowa 393, 43-332 Spytkowice"
Krzysztof Witkowski,508680734,krzysztof.witkowski@klamka.com,"Grzegorza 337, 90-898 Piaski"
Edmund Kamiński,504462119,kaminski@okrag.waw.pl,"Polna 331, 55-287 Krobia"
Alberta Górska,603436907,gorska@polka.wroc.pl,"al. Niepodległości 68, 83-765 Kikół"
Dominik Jot,602202093,jot@kierownik.pl,"Sosnowiecka 141, 60-882 Michałowice"
Anita Witkowska,500946327,witkowska@podnozek.com.pl,"Ogrodowa 93, 20-590 Jeżów"
Janusz Witkowski,604996743,janusz.witkowski@hydraulik.eu,"Wolności 44, 90-278 Kcynia"
Adela Witkowska,600283801,adela.witkowska@krzeslo.com,"Szkolna 17, 28-607 Czerwińsk nad Wisłą"
Albertyna Kaczmarek,606351420,albertyna.kaczmarek@dermatolog.eu,"Ortopedyczna 390, 05-674 Nowa Wieś Wielka"
Bolesław Stępień,501691617,stepien@nauczyciel.pl,"Grzegorza 56, 41-921 Wola"
Stanisław Piotrowicz,605278972,piotrowicz@krewetka.com,"Wolności 76, 58-192 Wielopole Skrzyńskie"
Dariusz Adamczyk,509330106,dariusz.adamczyk@linia.gov.pl,"Łąkowa 367, 84-877 Wartkowice"
Iwo Kozłowski,607582285,iwo.kozlowski@kryl.gov.pl,"Szkolna 314, 85-775 Puławy"
Edward Tracz,602569439,edward.tracz@strazak.waw.pl,"Leśna 350, 38-778 Jordanów Śląski"
Emilia Walczak,607521143,emilia.walczak@krzeslo.gov.pl,"Leśna 135, 95-932 Nowy Kawęczyn"
Adam Tomaszewski,504557898,adam.tomaszewski@drzwi.pl,"al. Jerozolimskie 217, 63-852 Żarnowiec"
Hanna Zielińska,606716933,hanna.zielinska@ostryga.waw.pl,"Szkolna 192, 94-791 Lniano"
Ada Wojciechowska,610861298,ada.wojciechowska@zubr.gov.pl,"Polna 305, 44-924 Zagórów"
Halina Pietrzak,606772695,pietrzak@prostokat.gov.pl,"Krótka 286, 04-174 Ceków"
Edmund Kamiński,608100290,kaminski@okrag.waw.pl,"Brzozowa 246, 29-503 Olszyna"
Amelia Nowicka,504102922,amelia.nowicka@ostryga.com.pl,"Kwiatowa 164, 08-634 Kruklanki"
Andrzej Jankowski,507609289,jankowski@weterynarz.pl,"Ogrodowa 350, 07-902 Koźminek"
Adriana Wyrozębska,504503310,wyrozebska@szafa.eu,"Wołoska 346, 84-134 Niedźwiedź"
Teresa Pawlak,505555543,teresa.pawlak@prostokat.gov.pl,"Młynarska 231, 03-034 Grabów nad Pilicą"
Adam Tomaszewski,608302672,adam.tomaszewski@drzwi.pl,"Puławska 266, 60-571 Obrazów"
Adela Wybicka,605052404,wybicka@ostryga.eu,"Sosnowiecka 102, 61-680 Lanckorona"
Bolesław Kotarski,500202609,boleslaw.kotarski@krzeslo.gov.pl,"ks. Józefa 230, 79-424 Wierzbno"
Apollina Kowalczyk,601429261,kowalczyk@zubr.gov.pl,"Leśna 192, 19-931 Czarnocin"
Mariusz Józefiak,508388192,mariusz.jozefiak@poligon.com,"Leśna 174, 19-924 Jerzmanowa"
Bogumiła Baran,500741391,baran@kredens.com,"Leśna 266, 96-508 Borne Sulinowo"
Adam Olszewski,501789510,olszewski@lozko.com,"Brzozowa 28, 07-794 Domanice"
Andżelika Wybicka,603485000,andzelika.wybicka@pracownik.pl,"Brzozowa 37, 55-608 Bystrzyca Kłodzka"
Aida Lewandowska,606652327,lewandowska@kredens.wroc.pl,"Łąkowa 278, 28-159 Buczkowice"
Augustyna Wójcik,602748746,augustyna.wojcik@linia.eu,"Młynarska 373, 79-111 Milanówek"
Adela Wybicka,508581309,wybicka@ostryga.eu,"ks. Józefa 318, 79-792 Korycin"
Adam Stępień,509463165,adam.stepien@poligon.eu,"Puławska 216, 89-990 Będków"
Henryk Wróblewski,604977749,wroblewski@prostokat.pl,"Lipowa 176, 33-044 Brusy"
Jakub Piotrowicz,610214384,jakub.piotrowicz@rybitwa.com,"ks. Józefa 121, 97-240 Topólka"
Filip Dudek,509399312,filip.dudek@klamka.waw.pl,"Słoneczna 2, 44-895 Olesno"
Edward Tracz,508058836,edward.tracz@strazak.waw.pl,"Kwiatowa 352, 03-266 Knyszyn"
Adam Stępień,501298489,adam.stepien@poligon.eu,"Bitwy Warszawskiej 264, 24-528 Grabica"
Dominik Zieliński,608336036,dominik.zielinski@rybitwa.com,"Wołoska 252, 59-593 Belsk Duży"
Anatolia Kowalska,605821894,kowalska@nauczyciel.com.pl,"Bonifratrów 298, 58-629 Babice"
Janusz Witkowski,508464604,janusz.witkowski@hydraulik.eu,"Polna 76, 38-956 Świerczów"
Bogusława Kamińska,601421171,boguslawa.kaminska@rybitwa.pl,"Ortopedyczna 258, 82-639 Gidle"
Adam Olszewski,607829285,olszewski@lozko.com,"Bitwy Warszawskiej 323, 10-022 Sztabin"
Bolesław Stępień,603487257,stepien@nauczyciel.pl,"Ogrodowa 308, 22-642 Kraśnik"
Augusta Jankowska,504162856,jankowska@rybitwa.com.pl,"Odyńca 154, 17-134 Brwinów"
Anita Witkowska,605607496,witkowska@podnozek.com.pl,"Wołoska 155, 38-195 Gołańcz"
Andżelika Wybicka,607425805,andzelika.wybicka@pracownik.pl,"ks. Józefa 354, 04-979 Wierzchowo"
Mariusz Józefiak,507956088,mariusz.jozefiak@poligon.com,"Sosnowiecka 202, 92-645 Przedecz"
Aida Witkowska,605432565,witkowska@kredens.wroc.pl,"Szkolna 398, 92-272 Żarnowiec"
Agata Wróblewska,608464794,wroblewska@weterynarz.eu,"ks. Józefa 364, 16-459 Świątki"
Hanna Zielińska,504990974,hanna.zielinska@ostryga.waw.pl,"Puławska 304, 60-152 Ornontowice"
Ada Wojciechowska,608180108,ada.wojciechowska@zubr.gov.pl,"Łąkowa 201, 18-046 Barczewo"
Dariusz Kowalski,607115529,kowalski@poligon.gov.pl,"plac Unii Lubelskiej 173, 10-191 Strumień"
Augusta Jankowska,504766903,jankowska@rybitwa.com.pl,"Bonifratrów 378, 53-254 Żelechlinek"
Henryk Sasin,507116291,henryk.sasin@punkt.com,"Polna 160, 55-599 Myszyniec"
Michał Kwiatkowski,604496994,kwiatkowski@ryjowka.eu,"Słoneczna 334, 66-069 Sabnie"
Dominik Jot,500597613,jot@kierownik.pl,"11 Listopada 278, 28-520 Bojanów"
Krzysztof Witkowski,605460973,krzysztof.witkowski@klamka.com,"Leśna 259, 25-031 Szczebrzeszyn"
Mariusz Jabłoński,610152673,mariusz.jablonski@drzwi.waw.pl,"Lipowa 25, 00-358 Niedźwiedź"
Emilia Walczak,508401338,emilia.walczak@krzeslo.gov.pl,"11 Listopada 292, 53-828 Rutki"
Albertyna Kaczmarek,500457524,albertyna.kaczmarek@dermatolog.eu,"Polna 252, 92-199 Chmielnik"
Aida Witkowska,504509876,witkowska@kredens.wroc.pl,"al. Jerozolimskie 234, 06-783 Wierzbinek"
Henryk Wróblewski,504697616,wroblewski@prostokat.pl,"Brzozowa 349, 89-358 Bierutów"
Albertyna Zielińska,507773108,zielinska@elektromonter.waw.pl,"al. Niepodległości 109, 15-499 Rzepiennik Strzyżewski"
Halina Pietrzak,508780373,pietrzak@prostokat.gov.pl,"Brzozowa 318, 57-634 Miedźna"
Filip Dudek,505804431,filip.dudek@klamka.waw.pl,"plac Unii Lubelskiej 4, 47-466 Gliwice"
Bogusława Kamińska,503087722,boguslawa.kaminska@rybitwa.pl,"Bonifratrów 25, 76-175 Chojna"
Mariusz Jabłoński,607116701,mariusz.jablonski@drzwi.waw.pl,"Puławska 380, 05-648 Kodrąb"
Andrzej Jankowski,501199607,jankowski@weterynarz.pl,"Jana Pawła II 149, 92-233 Śródmieście"
Michał Kwiatkowski,603416576,kwiatkowski@ryjowka.eu,"Krótka 228, 54-595 Lubsza"
Alesja Sikora,506806942,alesja.sikora@pracownik.eu,"Wołoska 322, 74-188 Wodynie"
Piotr Dudek,610366758,piotr.dudek@szafa.pl,"Bukowa 57, 05-342 Drawsko Pomorskie"
Adela Sikora,505182135,adela.sikora@prostokat.wroc.pl,"Ortopedyczna 4, 08-402 Żyraków"
Bolesław Kotarski,604157022,boleslaw.kotarski@krzeslo.gov.pl,"Łąkowa 59, 66-821 Rutka"
Amelia Nowicka,605304360,amelia.nowicka@ostryga.com.pl,"Wołoska 301, 67-753 Białaczów"
Adriana Szewczyk,603241476,szewczyk@kon.com.pl,"Ortopedyczna 350, 67-890 Bobrowice"
Wiesław Olszewski,508581455,wieslaw.olszewski@strazak.pl,"11 Listopada 232, 32-207 Żarów"
